,SentencePair,PairID,SubsetID,SourceID
0,"['In relationships, body language communicates a great deal for both males and females.', 'the eyes talk, hands talk, all the body shows it when a guy like a girl, and vice versa.']",Formality_pp_0,Formality_pp,Formality
1,"['You are a good songwriter.', ""hey you don't need to ask any one for lyrics .""]",Formality_pp_1,Formality_pp,Formality
2,"['You deserve someone who sees the potential in you.', ""If she can't see what a wonderful person you are, then she is not the one for you...""]",Formality_pp_10,Formality_pp,Formality
3,"['Using the ""Just Say No"" motto depends on the circumstances.', ""Just say No Depends what you're saying no to.""]",Formality_pp_100,Formality_pp,Formality
4,"['You had answered my previous question. What a woman expects from a man she marries?', 'U had answred my Q: What a gul expect fr a boy when she get married?']",Formality_pp_101,Formality_pp,Formality
5,"['Therefore I said that we should just remain friends.', 'So I told him that we should be friends.']",Formality_pp_102,Formality_pp,Formality
6,"['They did not help him and I feel really bad about that.', 'then left him hanging and i feel really bad.']",Formality_pp_103,Formality_pp,Formality
7,"['You should try and form a relationship with her.', 'Not only should you try and date her!!!']",Formality_pp_104,Formality_pp,Formality
8,"['I think the fact that you called him means it would be appropriate to see him.', 'i think the fact that you called him means that your ok to see him.']",Formality_pp_105,Formality_pp,Formality
9,"['If you really love this one, you should tell her the truth, that you have been fornicating with two others.', 'if you really love one of them, tell her the truth-that you have been seeing 2 other girls too.']",Formality_pp_106,Formality_pp,Formality
10,"['I am going to tell you that you have no right to complain', ""Alright honey, I'm just gonna tell you flat out - you have no right to complain.""]",Formality_pp_107,Formality_pp,Formality
11,"['Your best friend or her boyfriend?', ""You're BEST FRIEND or her Boy friend?""]",Formality_pp_108,Formality_pp,Formality
12,"[""I really don't know; it's a random guess."", 'i dono jus a random guess']",Formality_pp_109,Formality_pp,Formality
13,"['I suggest you discuss this topic with others and read.', 'talk to people let it out and read']",Formality_pp_11,Formality_pp,Formality
14,"[""I'm still trying to find out, so if you find out first, please let me know."", 'Im still trying to find that out for myself if you find out tell me!']",Formality_pp_110,Formality_pp,Formality
15,"['I used to read the book often and I was overjoyed when my mother purchased the film.', 'I always used to read the book, and I was so happy when my mom bought the movie.']",Formality_pp_111,Formality_pp,Formality
16,"['I believe that you could earn some decent money for them on Ebay. Apologies that I was unable to answer your question.', ""I bet you could get a pretty penny for them on Ebay... (sorry I didn't answer your question)""]",Formality_pp_112,Formality_pp,Formality
17,"['As Ginger stated: when you are smart and successful, you can have anything you desire. Well, almost anything.', ""Like Ginger said when u're smart and successful u can hav anything u want(almost anything)""]",Formality_pp_113,Formality_pp,Formality
18,"['Just go easy on them. They are the best in the way that they are. After all, not everyone is like that. (Just kidding.)', '(JUST KIDDIND) JUST GO EASY ON THEM.THEY R THE BEST IN THE WAY THEY R.AFTERALL NOT EVERYONE R!!']",Formality_pp_114,Formality_pp,Formality
19,"['People always want things that they cannot obtain.', ""People always want what they can't have.""]",Formality_pp_115,Formality_pp,Formality
20,"['They are classier and are better, what should I say?', 'THEY HAVE MORE CLASS AND ARE MORE> WHAT SHOULD I SAY?']",Formality_pp_116,Formality_pp,Formality
21,"['If you ask him you are being honest to your thoughts.', 'And if you ask him your thinking your thoughts :)']",Formality_pp_117,Formality_pp,Formality
